Nom de l'entreprise,Note sur 5,Nombre de reviews,Catégorie,Site de l'entreprise,Adresse,France (Oui/Non),Pourcentage 5 étoiles,Pourcentage 4 étoiles,Pourcentage 3 étoiles,Pourcentage 2 étoiles,Pourcentage 1 étoile
Almé,4.5,"6,132",Clothing Store,http://almeparis.com/,,Non,0%,0%,0%,0%,0%
Indie Identity,4.1,5,Clothing Store,http://indieidentity.com/,,Non,0%,0%,0%,0%,0%
Morgan,3.8,518,Clothing Store,http://morgandetoi.fr/,,Non,0%,0%,0%,0%,0%
Otrium,3.6,"4,450",Clothing Store,http://otrium.fr/,,Non,0%,0%,0%,0%,0%
bonprix,4.0,"10,921",Clothing Store,http://www.bonprix.fr/,,Non,0%,0%,0%,0%,0%
KikiGames,4.0,4,Clothing Store,http://kikigames.com/,,Non,0%,0%,0%,0%,0%
Vinted FR,3.4,"40,485",Clothing Store,https://vinted.fr/,,Non,0%,0%,0%,0%,0%
BAISI Hair FR,4.4,"1,218",Clothing Store,http://baisihair.fr/,,Non,0%,0%,0%,0%,0%
Freeman T. Porter,4.3,"6,036",Clothing Store,https://www.freemantporter.com/fr/,,Non,0%,0%,0%,0%,0%
Don't Call Me Jennyfer,3.3,"4,287",Clothing Store,http://www.jennyfer.com/,,Non,0%,0%,0%,0%,0%
Wethenew,4.2,"28,055",Clothing Store,https://wethenew.com/,,Non,0%,0%,0%,0%,0%
Sarenza,4.1,"3,777",Clothing Store,http://www.sarenza.com/,,Non,0%,0%,0%,0%,0%
